#{"t_start": 1786775888.2427084, "env_id": "None"}
r,l,t,cleared_count
1374.839127,720,8206.32983,1080
1552.286372,720,8234.004825,1088
2310.007751,720,8262.286973,1462
1578.117265,720,8290.544098,1082
2465.579941,720,8319.218626,1381
2147.68128,720,8351.608883,1258
2018.288757,720,8379.279652,1171
1844.545412,720,8413.203502,1894
2174.44734,720,8441.296292,1462
1450.405706,720,8469.599772,808
2262.146943,720,8497.128615,1466
2078.128673,720,8524.887825,1172
2164.60919,720,8554.97568,1248
3293.891812,720,8586.271096,2064
1522.242097,720,8612.869862,1085
1204.291734,720,8640.244568,961
1489.622561,720,8667.874564,808
1462.51151,720,8694.49017,807
2390.476743,720,8722.2468,1473
1233.170885,720,8750.217828,665
1226.151546,720,8777.790158,967
2067.454376,720,8807.336206,1201
2161.657214,720,8836.642433,1256
1586.463734,720,8863.705803,1089
1994.866218,720,8893.685905,1195
2321.860243,720,8919.600251,1469
2169.347685,720,8949.222444,1261
2134.292582,720,8976.675569,1462
2723.741484,720,9008.240137,1699
3397.570362,720,9039.146745,2062
2399.573541,720,9071.472493,1901
2046.934431,720,9098.215881,1171
2514.44653,720,9128.131887,1548
2598.115807,720,9157.563737,1564
2526.617333,720,9183.257295,1372
2075.129758,720,9208.897439,1174
2140.354637,720,9236.93014,1152
2707.617783,720,9267.674925,1693
2038.83076,720,9304.926693,1170
2418.065922,720,9338.857209,1471
2123.960295,720,9380.739434,1867
2289.964248,720,9408.295566,1459
2453.602631,720,9439.176574,1384
1356.153105,720,9464.82305,979
2467.047224,720,9495.023815,1549
2518.085253,720,9521.13911,1368
3228.409314,720,9552.46299,2008
1481.540825,720,9577.561938,804
2812.884602,720,9607.944776,2032
2053.762589,720,9633.9021,1172
2184.326576,720,9661.967413,1151
1997.874247,720,9695.423256,1177
2023.313659,720,9723.340505,1392
2828.336046,720,9755.051452,1703
3145.5076,720,9785.798421,2001
2018.932431,720,9811.722865,1170
1508.954719,720,9837.555322,1085
2372.092576,720,9866.731405,1554
2220.196053,720,9893.59407,1458
2761.153579,720,9924.453929,1716
2860.619784,720,9956.08165,1809
2830.747964,720,9986.288196,1697
2061.871587,720,10015.777265,1174
2281.362016,720,10046.552229,1468
2738.248463,720,10083.633981,1707
3242.742215,720,10114.317258,2016
2017.780804,720,10145.608257,1451
3330.814726,720,10173.830474,1861
3103.060264,720,10219.155053,1996
2340.293716,720,10249.814754,1466
2353.81048,720,10276.218688,1473
2373.622386,720,10308.25656,1474
3185.721476,720,10346.582442,2006
2577.142138,720,10376.832671,1564
1409.876644,720,10413.710748,982
2159.98754,720,10438.725718,1150
2326.41188,720,10469.080119,1467
3316.513107,720,10500.101867,2007
2192.363748,720,10529.554663,1258
1604.052912,720,10559.227242,1015
2008.834523,720,10588.122837,1174
2377.521825,720,10615.029188,1467
1658.118656,720,10644.06849,1004
2343.959187,720,10676.489985,1384
1917.657591,720,10706.480413,1388
2158.701703,720,10741.640997,1260
2836.688248,720,10772.887064,1699
1974.053032,720,10798.086121,1171
1391.702299,720,10825.541312,979
1517.426977,720,10851.541458,1087
2500.863032,720,10880.018303,1371
2957.086637,720,10912.143157,1898
2048.048226,720,10954.814514,1199
2409.227125,720,10997.396194,1372
2323.509647,720,11030.748271,1468
2009.281863,720,11062.077508,1174
2658.308853,720,11101.425478,1692
3162.537774,720,11143.748059,2278
1325.477916,720,11176.864593,978
2558.431677,720,11213.861212,1561
1645.364932,720,11249.182461,1014
3339.65445,720,11290.361238,2469
2133.082562,720,11331.009818,1149
2403.467282,720,11379.753184,1383
3233.293016,720,11431.233382,2010
1398.980881,720,11470.393077,975
2052.610362,720,11505.724152,1201
2812.265899,720,11544.86658,1716
1255.292849,720,11578.786315,977
1396.455232,720,11611.252832,977
2517.908111,720,11643.545405,1371
2244.485931,720,11676.777102,1473
2117.011081,720,11709.675254,1152
1624.271696,720,11744.004974,1088
1232.259704,720,11776.381612,974
2138.518984,720,11808.868177,1151
2188.861759,720,11849.886737,1886
2144.409376,720,11883.004061,1152
2083.7684,720,11915.86793,1385
1244.809989,720,11948.245838,667
1396.044778,720,11980.710093,806
2820.475597,720,12020.204242,1691
2062.682951,720,12060.526884,1393
2712.926722,720,12111.339778,1693
2921.111107,720,12167.087748,1817
3130.884798,720,12219.257715,2000
3254.083416,720,12258.458748,2064
3225.726926,720,12298.746417,2452
1700.924396,720,12335.393949,1015
2202.188747,720,12371.82031,1257
2305.859706,720,12404.904128,1450
2931.522491,720,12442.741834,1810
3049.694808,720,12480.195858,1902
2408.110164,720,12516.943827,1381
2915.468497,720,12557.540568,2266
2012.114895,720,12590.384073,1175
2348.519684,720,12623.051422,1467
2749.60524,720,12660.062819,1693
2392.611912,720,12693.123384,1473
1997.999224,720,12727.695389,1200
2451.485881,720,12763.578084,1384
2815.566826,720,12799.10588,1698
2779.141166,720,12838.549752,2234
2892.158449,720,12877.184592,2032
1980.4039,720,12912.083081,1171
1257.572598,720,12947.806558,668
2368.029941,720,12978.707129,1467
2197.44906,720,13018.068645,1899
3032.749455,720,13058.096454,2003
3404.017188,720,13096.47578,2069
1557.540758,720,13128.762429,1090
1454.219443,720,13160.401681,807
3317.208284,720,13201.731796,2492
1969.648552,720,13234.744,1173
3186.710511,720,13272.707853,2015
3126.179206,720,13311.015024,2026
1454.057352,720,13343.681851,807
2503.810871,720,13377.508425,1368
2641.959138,720,13414.820408,1691
3290.002055,720,13452.712017,2018
2356.822645,720,13485.961273,1471
2140.829323,720,13518.534933,1152
2316.747904,720,13553.952709,1474
2155.489444,720,13590.424199,1259
1461.562471,720,13622.279717,806
1930.883335,720,13659.832609,1199
1265.839205,720,13691.699067,668
2237.700754,720,13727.718379,1467
1243.613936,720,13760.906574,666
2056.946116,720,13796.544224,1168
1351.202087,720,13831.686353,977
2848.985162,720,13870.163196,1806
1254.163111,720,13902.082473,668
3247.929107,720,13941.288783,2263
2342.135622,720,13980.831703,1889
2447.707605,720,14014.519132,1474
2758.938151,720,14055.223667,1701
3465.412998,720,14097.119928,2496
2464.306747,720,14134.19884,1383
2010.474405,720,14169.391919,1201
2440.251117,720,14208.334599,1554
3284.646699,720,14244.583487,2054
3273.545057,720,14285.36381,2021
2328.613796,720,14318.7276,1471
2037.621427,720,14352.0037,1172
2304.831271,720,14386.457164,1469
2100.753192,720,14420.05744,1149
2049.6702,720,14452.84919,1174
1558.220067,720,14484.405529,1089
2359.635583,720,14518.129549,1467
2150.740377,720,14553.601031,1394
1531.391095,720,14583.758328,1081
2463.812618,720,14612.74059,1383
2162.378937,720,14638.40523,1153
2031.206786,720,14663.47221,1172
2061.869129,720,14692.810476,1174
3243.884265,720,14724.316195,2014
2366.728512,720,14752.206114,1468
2764.656511,720,14781.429317,1706
2542.468402,720,14811.424641,1565
2327.450481,720,14838.256202,1473
2003.138088,720,14864.521802,1167
1388.811029,720,14890.551411,808
1996.559515,720,14916.106057,1173
1651.831297,720,14945.123554,1014
2826.591929,720,14974.594049,1702
2477.193571,720,15001.066677,1372
2035.814876,720,15029.155714,1172
2187.423218,720,15056.455467,1458
1661.667643,720,15086.12454,1016
3333.615881,720,15116.317915,2069
1993.652714,720,15144.790726,1202
2377.24286,720,15171.224865,1471
1435.167745,720,15198.123673,1085
2371.226733,720,15226.08272,1466
2122.919307,720,15253.243037,1394
2723.600229,720,15282.880943,1709
1568.51856,720,15309.412308,1080
2818.186475,720,15339.151932,1823
1474.805257,720,15363.910046,807
2366.827271,720,15393.048741,1543
2350.773753,720,15423.942689,1541
2371.167448,720,15450.517521,1471
2683.028949,720,15483.074122,2033
2874.005616,720,15513.151922,1807
2387.554702,720,15540.354344,1464
1521.280261,720,15566.785572,807
2461.281933,720,15598.787618,1557
2018.438506,720,15626.057089,1387
2372.360891,720,15656.813237,1533
1555.281003,720,15685.77734,1012
2140.862467,720,15711.620447,1148
2054.954634,720,15737.629008,1174
3289.960562,720,15769.015732,2001
3289.895012,720,15801.696469,2281
1474.413906,720,15828.268384,981
2039.129554,720,15853.253636,1175
2408.729258,720,15879.194314,1471
3366.50371,720,15909.745015,2057
2036.917312,720,15936.392682,1170
1495.879088,720,15961.836681,807
2532.605827,720,15990.848204,1562
3501.003806,720,16020.629748,2072
3120.528323,720,16049.648134,1902
1234.487875,720,16075.630778,667
2377.530042,720,16103.303717,1381
2860.085194,720,16133.765182,1810
2311.774829,720,16159.829547,1468
1251.598668,720,16186.573874,668
2110.748298,720,16213.259277,1391
3115.783199,720,16245.394377,2068
1930.87189,720,16271.288647,1173
1523.583709,720,16296.546962,806
1627.286155,720,16321.316149,1091
2091.13902,720,16346.306345,1147
2931.005561,720,16377.251533,1817
3097.7509,720,16407.8832,1902
3578.621217,720,16440.718127,2494
2797.034874,720,16470.637907,1806
1473.891961,720,16498.520559,805
2409.048762,720,16528.590277,1474
2816.510607,720,16559.415617,1808
2032.000577,720,16585.537129,1173
2104.381144,720,16611.317158,1150
2323.419624,720,16638.280996,1461
2397.889834,720,16664.972274,1471
3120.615654,720,16696.382746,2020
3444.780108,720,16728.354333,2067
1586.813774,720,16755.46707,1088
1242.276082,720,16781.423725,667
2365.715367,720,16811.460539,1556
2001.055178,720,16837.449847,1171
2603.950568,720,16870.073968,1707
1686.258906,720,16898.427805,1016
3089.344545,720,16927.901359,1908
1487.527463,720,16953.835579,798
3226.04292,720,16986.877473,2266
2903.93425,720,17017.116227,1812
2566.741759,720,17045.570226,1546
2710.286948,720,17075.070604,1819
2286.813106,720,17105.111684,1549
2717.866956,720,17136.233421,1697
3425.245029,720,17165.336215,2061
3240.981884,720,17198.945517,1858
2115.792932,720,17230.052418,1387
2613.801265,720,17259.758539,1564
2495.701924,720,17286.273199,1371
2813.021021,720,17316.632974,2011
2138.269667,720,17343.010077,1151
2308.61265,720,17369.112282,1461
3365.893284,720,17400.618098,1863
1936.591187,720,17431.138745,1203
2118.731626,720,17457.580369,1151
2073.110632,720,17487.169581,1255
2030.222881,720,17513.645361,1168
3771.931766,720,17545.041413,2496
1244.652124,720,17571.768353,667
2149.728017,720,17601.395083,1260
3649.767258,720,17633.706299,2496
2027.095896,720,17659.266127,1172
2529.817033,720,17688.544789,1561
3203.539984,720,17718.791539,2011
2561.907211,720,17750.046864,1710
2136.572012,720,17775.718586,1151
1345.809622,720,17801.033003,975
2516.792351,720,17827.267877,1370
3251.584739,720,17857.780606,2007
2460.08423,720,17885.178292,1465
2368.486232,720,17914.076742,1379
2299.542096,720,17941.344287,1470
2899.805953,720,17971.427231,1810
2064.114204,720,17997.478285,1173
1254.701807,720,18023.241493,668
2020.306079,720,18050.376283,1172
2388.145539,720,18080.214327,1384
2197.525151,720,18106.96689,1387
1634.068742,720,18133.563102,1088
1657.387893,720,18160.87612,1087
2976.385822,720,18192.822821,1893
3293.412295,720,18222.893014,2008
1574.736615,720,18252.118895,1015
3481.99669,720,18282.33689,2077
2771.088851,720,18314.428526,1714
2446.015216,720,18342.224756,1469
2475.106258,720,18369.267751,1477
2591.006553,720,18399.196864,1560
1231.234179,720,18423.529802,664
2782.252222,720,18453.615568,1693
1718.279803,720,18480.45996,1088
2868.389191,720,18510.086253,1702
2040.90817,720,18536.528584,1172
3342.854133,720,18568.309961,2282
2968.097587,720,18599.582172,2058
1252.114235,720,18626.129726,667
3362.42591,720,18657.093836,2067
2454.133823,720,18684.027408,1468
1292.189687,720,18710.733987,974
2394.788525,720,18738.967169,1382
2985.298476,720,18769.268952,2032
2605.261014,720,18801.815712,2069
2419.492478,720,18829.320268,1466
3201.197266,720,18858.582176,2009
1387.240351,720,18885.547103,968
2092.402033,720,18913.261205,1388
2387.68224,720,18942.942406,1385
2510.888933,720,18968.672883,1368
2779.103993,720,18996.868883,1697
2401.414326,720,19023.111555,1472
1519.750463,720,19048.874663,809
2076.059614,720,19076.670701,1174
2700.53026,720,19106.425117,1695
1250.993679,720,19132.702729,668
1670.412923,720,19164.968558,1091
1483.116046,720,19197.444175,806
2548.58242,720,19231.900661,2027
2402.81079,720,19261.257374,1464
2107.778086,720,19287.399184,1150
3316.769375,720,19318.919752,2070
2611.275762,720,19349.976748,1903
2011.679509,720,19380.283549,1195
2050.180125,720,19406.396634,1173
2898.319345,720,19436.773099,1814
1260.911086,720,19461.582606,668
2474.587342,720,19488.205601,1467
2820.48043,720,19519.075099,2028
2124.026119,720,19547.06595,1151
2112.925896,720,19572.857322,1150
1264.413378,720,19597.642566,668
2745.004082,720,19627.647996,1695
2455.271501,720,19654.096008,1467
2099.33806,720,19681.009641,1149
1586.484766,720,19709.749523,1011
2125.879212,720,19736.391063,1150
1963.40213,720,19762.421271,1172
2415.603439,720,19793.118926,1697
2389.013344,720,19819.972919,1472
2922.185865,720,19849.335361,1814
3496.716638,720,19881.994955,2490
2392.331937,720,19907.765779,1357
2658.641904,720,19937.332853,1707
1983.986496,720,19962.995726,1171
2485.326712,720,19989.368838,1370
3617.860947,720,20021.247729,2504
3386.660808,720,20051.708985,2070
3182.197258,720,20084.43831,2458
1679.54978,720,20112.69173,1091
2731.332827,720,20147.730748,1711
2553.268173,720,20179.193739,1892
2751.500313,720,20210.096822,1696
2450.90542,720,20238.580644,1466
2729.395671,720,20268.401348,1688
3034.037723,720,20299.170097,1899
1390.923166,720,20325.625897,977
2648.603543,720,20356.890406,1694
2748.120474,720,20386.197837,1712
1931.878897,720,20412.514327,1174
2119.96178,720,20438.754406,1150
1242.946379,720,20465.425457,666
2527.170362,720,20495.841893,1559
3598.073743,720,20528.753224,2487
2446.020076,720,20554.798993,1463
1981.485514,720,20582.525344,1173
1944.400976,720,20609.223246,1163
2011.434991,720,20635.886373,1174
2002.012859,720,20662.353947,1166
2556.786044,720,20695.097082,2038
2506.352792,720,20725.450743,1560
1461.195052,720,20751.715871,808
2014.822239,720,20779.025505,1386
2097.722778,720,20805.338712,1148
2875.376002,720,20838.810725,2185
2458.819664,720,20869.658218,1684
2137.241485,720,20899.574218,1395
2423.101927,720,20930.552988,1372
2134.509376,720,20960.537917,1262
3096.549102,720,20993.402847,2014
2051.240871,720,21020.170303,1150
1644.833877,720,21047.065291,1090
1963.284347,720,21073.302416,1173
2953.366281,720,21104.273578,1893
2440.839283,720,21130.140878,1468
2398.506233,720,21159.242602,1562
2365.583542,720,21187.020737,1463
2993.146389,720,21219.231566,2019
3042.812101,720,21250.941464,2012
1649.02874,720,21277.979992,1087
2482.171089,720,21304.614978,1463
2868.762114,720,21335.035626,1816
2380.912997,720,21360.820387,1369
2770.409648,720,21391.124969,1893
2530.516114,720,21422.325487,1709
2399.607802,720,21448.720759,1468
1722.731979,720,21475.798551,1085
