#{"t_start": 1786737065.7150793, "env_id": "None"}
r,l,t,cleared_count
1435.343184,720,2292.36703,819
2706.06297,720,2319.860017,2080
1698.253209,720,2341.634403,1286
2922.014529,720,2367.836741,2045
1262.995508,720,2393.284251,671
1180.415305,720,2413.82128,786
3197.684832,720,2438.107991,2301
1829.808725,720,2459.486237,972
1176.555974,720,2479.43038,777
2220.689195,720,2500.742994,1499
3000.354534,720,2525.896081,1846
3124.235625,720,2551.54005,1846
3034.8644,720,2575.986952,1792
1630.513988,720,2597.926956,1274
2783.384208,720,2623.096523,2002
2515.577522,720,2645.167491,1494
2895.416197,720,2668.451867,1701
2828.165066,720,2693.534782,2031
2417.434819,720,2714.492972,1491
2772.659788,720,2739.412284,2055
2616.928986,720,2764.028864,1682
2344.921837,720,2785.392522,1497
1814.025121,720,2806.942957,1284
2060.718031,720,2828.961306,1285
1845.120285,720,2850.033544,1279
3041.733554,720,2881.174613,2059
1827.99724,720,2907.594897,973
2593.465036,720,2941.136531,1675
2509.783934,720,2972.326626,1467
2502.77897,720,2995.102601,1471
2473.328219,720,3015.80869,1497
2737.466272,720,3039.685495,1696
1865.594351,720,3060.442094,1283
2474.125601,720,3083.369115,1466
1278.529359,720,3103.460096,882
1923.908977,720,3124.930655,1278
3095.752708,720,3150.713517,2287
1137.107675,720,3171.752959,774
1476.590209,720,3191.841835,826
2521.622356,720,3214.946613,1487
2789.848,720,3239.36106,1698
2769.868669,720,3264.769085,1697
2754.638663,720,3293.523682,1678
1488.122679,720,3313.126835,826
2191.199394,720,3332.849274,1191
2983.971748,720,3357.86664,2068
1826.089985,720,3380.089876,1508
2107.061426,720,3402.658703,1522
2977.797437,720,3426.544022,1849
2384.55552,720,3448.839182,1484
2590.994246,720,3474.389489,1931
1259.60339,720,3494.455949,671
1221.976457,720,3515.708087,785
2280.298374,720,3542.063332,1946
2422.505298,720,3564.288133,1497
3101.790963,720,3587.715434,1790
1823.937781,720,3607.971438,972
2447.343065,720,3631.5792,1460
3079.084947,720,3655.034985,1848
2437.017002,720,3676.65016,1497
1233.974108,720,3698.237923,887
2068.282106,720,3718.670713,1283
2192.359271,720,3738.866737,1192
2763.870104,720,3762.700086,1649
3464.126713,720,3781.355884,1987
2041.775814,720,3798.990663,1512
2766.14195,720,3820.543782,2383
1845.685733,720,3835.679261,973
2087.235609,720,3852.141311,1290
2954.03642,720,3871.196161,1706
2474.990145,720,3888.757483,1489
1836.790936,720,3904.877896,972
1827.594074,720,3922.246814,1291
2521.868774,720,3940.629193,1854
2330.496145,720,3960.584721,1937
2059.516303,720,3976.687104,1290
2801.531593,720,3996.780231,2049
1222.884001,720,4011.73992,881
3117.523446,720,4031.677494,2280
2647.959536,720,4049.850742,2019
2487.499973,720,4068.479791,1491
2419.367322,720,4087.301,1489
3024.45794,720,4106.166655,1784
3126.331795,720,4124.951331,2313
2428.533851,720,4143.315838,1467
1971.155403,720,4162.734855,1185
2860.807777,720,4184.147341,2074
1845.336795,720,4201.336228,973
2966.077398,720,4220.768464,2003
1252.488076,720,4236.786803,671
1984.998094,720,4254.930772,1289
2887.009373,720,4275.431616,2045
2926.977955,720,4294.256378,2061
3354.705615,720,4314.099226,2297
1484.248114,720,4330.450799,825
2858.736474,720,4352.739228,2081
2492.33434,720,4370.296313,1480
2970.541776,720,4389.530313,2055
1929.8902,720,4406.404988,1288
