tl_id,direction,turn,flow,ratio
J13,东进口,右转,58,0.466666666666667
J13,西进口,左转,75,0.642250530785563
J13,西进口,直行,42,0.357749469214437
J13,西进口,右转,0,0.0
J13,北进口,左转,0,0.0
J13,北进口,直行,0,0.0
J13,北进口,右转,0,0.0
J13,南进口,左转,71,0.499122807017544
J13,南进口,直行,0,0.0
J13,南进口,右转,71,0.500877192982456
J14,东进口,左转,57,0.540256709451575
J14,东进口,直行,0,0.0
J14,东进口,右转,49,0.459743290548425
J14,西进口,左转,0,0.0
J14,西进口,直行,0,0.0
J14,西进口,右转,0,0.0
J14,北进口,左转,0,0.0
J14,北进口,直行,59,0.351190476190476
J14,北进口,右转,109,0.648809523809524
J14,南进口,左转,121,0.803319502074689
J14,南进口,直行,29,0.196680497925311
J14,南进口,右转,0,0.0
J15,东进口,左转,54,0.328818660647103
J15,东进口,直行,54,0.330323551542513
J15,东进口,右转,56,0.340857787810384
J15,西进口,左转,49,0.331114808652246
J15,西进口,直行,56,0.377703826955075
J15,西进口,右转,43,0.291181364392679
J15,北进口,左转,71,0.308688613059903
J15,北进口,直行,131,0.566109012412304
J15,北进口,右转,29,0.125202374527793
J15,南进口,左转,42,0.22623828647925
J15,南进口,直行,76,0.410977242302544
J15,南进口,右转,67,0.362784471218206
J16,东进口,左转,69,0.359324236517219
J16,东进口,直行,73,0.382716049382716
J16,东进口,右转,49,0.257959714100065
J16,西进口,左转,57,0.354070660522273
J16,西进口,直行,66,0.410138248847926
J16,西进口,右转,38,0.2357910906298
J16,北进口,左转,53,0.369150779896014
J16,北进口,直行,46,0.324090121317158
J16,北进口,右转,44,0.306759098786828
J16,南进口,左转,46,0.37
J16,南进口,直行,51,0.415245737211635
J16,南进口,右转,26,0.20962888665998
J17,东进口,左转,72,0.558429118773946
J17,东进口,直行,0,0.0
J17,东进口,右转,57,0.441570881226054
J17,西进口,左转,0,0.0
J17,西进口,直行,0,0.0
J17,西进口,右转,0,0.0
J17,北进口,左转,62,0.56
J17,北进口,直行,48,0.437849944008959
J17,北进口,右转,0,0.0
J17,南进口,左转,0,0.0
J17,南进口,直行,39,0.32
J17,南进口,右转,85,0.68
J18,东进口,左转,81,0.41698595146871
J18,东进口,直行,68,0.349936143039591
J18,东进口,右转,45,0.233077905491699
J18,西进口,左转,48,0.392712550607287
J18,西进口,直行,48,0.389676113360324
J18,西进口,右转,26,0.217611336032389
J18,北进口,左转,35,0.2783203125
J18,北进口,直行,52,0.408203125
J18,北进口,右转,40,0.3134765625
J18,南进口,左转,30,0.176727272727273
J18,南进口,直行,79,0.464
J18,南进口,右转,61,0.359272727272727
J19,东进口,左转,32,0.306791569086651
J19,东进口,直行,54,0.511709601873536
J19,东进口,右转,19,0.181498829039813
J19,西进口,左转,28,0.303149606299213
J19,西进口,直行,42,0.442257217847769
J19,西进口,右转,24,0.254593175853018
J19,北进口,左转,32,0.405705229793978
J19,北进口,直行,23,0.299524564183835
J19,北进口,右转,23,0.294770206022187
J19,南进口,左转,41,0.314258911819887
J19,南进口,直行,53,0.400562851782364
J19,南进口,右转,38,0.285178236397749
J20,东进口,左转,14,0.248434237995825
J20,东进口,直行,30,0.503131524008351
J20,东进口,右转,14,0.248434237995825
J20,西进口,左转,11,0.252124645892351
J20,西进口,直行,21,0.495750708215297
J20,西进口,右转,11,0.252124645892351
J20,北进口,左转,22,0.249645390070922
J20,北进口,直行,44,0.500709219858156
J20,北进口,右转,22,0.249645390070922
J20,南进口,左转,34,0.249087591240876
J20,南进口,直行,68,0.501824817518248
J20,南进口,右转,34,0.249087591240876
