#{"t_start": 1786495278.9159775, "env_id": "None"}
r,l,t
-45.515654,144,846.010042
-44.475867,144,849.205719
-49.531031,144,852.277852
-51.165276,144,855.319731
-53.206898,144,858.598434
-50.944599,144,861.665633
-58.211096,144,864.806537
-53.811622,144,868.130499
-54.712141,144,871.360234
-51.002521,144,874.44538
-42.361384,144,877.556226
-51.448731,144,880.724051
-54.24062,144,883.834555
-41.7267,144,887.668827
-61.739412,144,890.891823
-43.653273,144,893.975428
-43.615776,144,897.268954
-51.057507,144,900.437758
-44.728725,144,904.092217
-54.390672,144,907.135474
-41.339454,144,910.23475
-41.100448,144,913.334253
-52.27627,144,916.457161
-56.402843,144,919.53819
-44.612961,144,923.283212
-47.927849,144,926.397928
-51.921531,144,929.518508
-44.419901,144,932.628223
-49.714356,144,936.224341
-43.861189,144,939.271707
-53.584019,144,942.400113
-52.458001,144,946.143693
-50.368802,144,949.22924
-43.221701,144,952.391117
-46.224852,144,955.609922
-46.09727,144,958.700644
-44.183991,144,961.936842
-44.351662,144,964.934855
-67.178478,144,968.110034
-47.458378,144,971.388852
-41.0013,144,974.548347
-61.992408,144,977.723811
-51.531556,144,980.846631
-55.271937,144,983.964458
-47.495814,144,987.025588
-49.358481,144,990.115954
-49.457429,144,993.158833
-58.881087,144,996.291928
-46.767911,144,999.286902
-55.713079,144,1002.523211
-48.856354,144,1005.614097
-45.648802,144,1008.726109
-50.019557,144,1011.848204
-48.438528,144,1014.987699
-47.65598,144,1018.603534
-49.239901,144,1021.733838
-46.006835,144,1024.945288
-40.443068,144,1028.057736
-41.1274,144,1031.160824
-58.130928,144,1034.252696
-38.621312,144,1037.446824
-53.127237,144,1040.507536
-49.155669,144,1043.622651
-48.688325,144,1046.813136
-34.344915,144,1049.874346
-47.877665,144,1052.992127
-43.267506,144,1055.956511
-39.505151,144,1058.921162
-48.963938,144,1062.035873
-45.540895,144,1065.169465
-48.340542,144,1068.356159
-60.473601,144,1071.516265
-42.945729,144,1074.674376
-49.508863,144,1078.052715
-50.594998,144,1081.341523
-47.995566,144,1084.546181
-46.265754,144,1088.301034
-46.551463,144,1091.466999
-48.108206,144,1094.5692
-54.789387,144,1097.695934
-55.805382,144,1100.798044
-44.460419,144,1103.920374
-52.535094,144,1106.901964
-47.475801,144,1110.267869
-42.090312,144,1113.444985
-49.326174,144,1117.158159
-45.771251,144,1120.326683
-44.207566,144,1123.529495
-63.306384,144,1126.842498
-51.459978,144,1129.984363
-46.644076,144,1133.148398
-42.957094,144,1136.290213
-39.032178,144,1139.996286
-53.605366,144,1143.11701
-55.804127,144,1146.26591
-43.3924,144,1149.444212
-43.614541,144,1152.477001
-44.328728,144,1155.567112
-43.036067,144,1158.701953
-42.3175,144,1161.84427
-43.254322,144,1165.021086
-42.219056,144,1168.09621
-43.33635,144,1171.140071
-53.997396,144,1174.364667
-51.697454,144,1177.513454
-42.550493,144,1180.688358
-44.196351,144,1184.049124
-43.432737,144,1187.643264
-44.458901,144,1190.65743
-46.594632,144,1193.570722
-36.126902,144,1197.259599
-43.991012,144,1200.239413
-57.898059,144,1203.575689
-41.258926,144,1206.555664
-61.709171,144,1209.623882
-45.39065,144,1212.679189
-40.139278,144,1216.398155
-68.32014,144,1219.560252
-57.377057,144,1223.514297
-43.808803,144,1226.697969
-51.813439,144,1229.921741
-41.83949,144,1233.106064
-38.257245,144,1236.907093
-41.592825,144,1239.971044
-55.019161,144,1243.748505
-45.364181,144,1247.448342
-54.672457,144,1250.540642
-38.932921,144,1253.664559
-49.775306,144,1256.878802
-42.920703,144,1260.939244
-40.372285,144,1265.178198
-45.43477,144,1268.848808
-54.21232,144,1272.765085
-46.72269,144,1277.041245
-51.751025,144,1280.133037
-47.695446,144,1283.271953
-52.598701,144,1286.261348
-42.52237,144,1289.937578
-53.755073,144,1293.863918
-52.850942,144,1297.720573
-59.437279,144,1301.58475
-46.455937,144,1305.32443
-48.455292,144,1312.755716
-47.712902,144,1319.157343
-58.789468,144,1326.35652
-65.062493,144,1330.890133
