#{"t_start": 1787032373.4694881, "env_id": "None"}
r,l,t,cleared_count
2017.91312,720,2029.523387,1114
3144.348407,720,2052.54786,1815
1851.710288,720,2072.302176,1082
1125.775992,720,2091.438071,599
2519.386044,720,2114.102595,1461
2072.028168,720,2133.768128,1132
1875.635875,720,2153.498593,1082
1039.597729,720,2173.102777,598
1219.562979,720,2192.651505,659
2713.49131,720,2215.23375,1480
1225.189088,720,2234.62907,661
2552.275535,720,2259.53368,1943
1749.392295,720,2279.894622,1232
2576.068092,720,2303.69762,1808
1128.164493,720,2323.00982,598
1177.56221,720,2342.932259,787
3055.803372,720,2367.134478,1892
1404.669679,720,2386.218282,748
1243.025905,720,2405.902824,788
1787.967392,720,2425.744616,1072
2493.31089,720,2448.618202,1414
2438.787067,720,2471.164762,1415
3185.509813,720,2494.066275,1818
1811.450575,720,2514.527739,1230
2618.508848,720,2538.619156,1775
1890.35884,720,2558.523497,1079
2025.75963,720,2580.794098,1108
2310.914954,720,2610.26582,2244
1884.225526,720,2630.051056,1079
2488.148588,720,2660.73706,2264
2296.598343,720,2685.406267,1381
1876.782155,720,2704.116078,1082
1650.663252,720,2723.917824,1225
2018.36638,720,2742.802164,1208
1721.503217,720,2762.044742,1227
2459.020982,720,2789.522507,2293
1408.201986,720,2807.476689,748
2100.073688,720,2829.038273,1315
2083.353345,720,2850.168024,1161
2105.463083,720,2871.086417,1160
1890.073402,720,2889.725039,1078
2341.997274,720,2911.443662,1387
1755.671393,720,2930.622784,1232
2126.24673,720,2951.551181,1160
1297.553923,720,2971.456419,899
1597.069472,720,2991.002777,1220
2942.088234,720,3013.764533,1965
1169.476999,720,3032.492712,789
1196.587903,720,3050.670331,660
1666.236488,720,3072.073015,936
2287.044677,720,3094.820404,1381
2296.42014,720,3116.807036,1381
2086.065148,720,3138.644331,1316
1201.284476,720,3157.244509,659
2110.70223,720,3176.774522,1132
2568.459639,720,3199.598235,1796
1768.55395,720,3218.556381,1093
1718.305023,720,3237.467791,1095
2459.788166,720,3259.179217,1418
1895.599913,720,3278.66282,1082
2592.529227,720,3303.250128,2001
1111.994141,720,3321.549382,598
1214.754879,720,3340.384089,788
1735.999987,720,3367.858194,1924
1867.730146,720,3386.536319,1080
3229.201001,720,3408.349243,1818
1402.699741,720,3426.82268,748
2111.732286,720,3448.344624,1159
2478.093639,720,3469.611829,1412
1834.3421,720,3488.295954,1076
1166.157736,720,3507.411514,911
2039.63647,720,3526.149108,1214
2090.876332,720,3544.570082,1132
2599.180356,720,3566.141455,1464
2718.169925,720,3587.569443,1478
1847.717114,720,3606.514285,1096
2618.214601,720,3631.97361,2199
1388.496769,720,3650.233041,748
1984.025154,720,3669.62927,1209
2042.153859,720,3691.036309,1114
1661.964527,720,3712.042596,936
1395.479626,720,3730.337552,748
1628.095971,720,3750.046687,1232
2231.187511,720,3773.814049,1881
2228.810133,720,3798.802392,1974
1909.754137,720,3816.924087,1209
2752.555252,720,3836.586591,1812
1283.0306,720,3853.134196,910
3150.763964,720,3872.657968,1965
2800.637167,720,3891.898684,1772
1661.178852,720,3910.12901,937
1658.280569,720,3928.321176,936
3128.402745,720,3947.507515,1812
3184.882774,720,3967.221157,1975
2140.107188,720,3985.722464,1161
1099.299878,720,4003.706166,629
2511.866233,720,4024.430312,1973
1399.111751,720,4040.333128,748
2841.315493,720,4059.655869,1772
1108.831355,720,4075.344681,594
2000.980165,720,4091.711772,1212
2890.536229,720,4111.012644,1798
2688.012842,720,4130.879459,1810
3048.599347,720,4150.921405,1893
1177.827335,720,4167.140016,660
2666.626925,720,4187.661925,1973
1651.722096,720,4205.891119,937
2552.374608,720,4229.075969,2322
1767.661503,720,4246.00024,1232
1881.189292,720,4262.50162,1082
1057.97137,720,4280.744249,628
1942.547626,720,4297.298912,1204
1896.751945,720,4313.623723,1080
2032.070318,720,4330.215886,1207
1392.308911,720,4346.279236,748
1397.944469,720,4362.389596,748
2817.525101,720,4381.850969,1772
2089.650374,720,4398.165453,1129
2021.340121,720,4414.594286,1206
2258.655163,720,4435.868471,1899
1216.665328,720,4452.054347,786
2734.670852,720,4470.537363,1482
1145.371953,720,4487.422732,903
2192.567873,720,4509.141943,1965
2654.804849,720,4532.156685,2339
3040.112701,720,4550.928116,1737
3255.515378,720,4570.422796,1968
2147.625521,720,4589.288825,1321
1836.707315,720,4605.582292,1080
1895.825781,720,4621.851871,1083
1214.872139,720,4637.80848,657
1108.536089,720,4653.732661,598
1777.653723,720,4670.72217,1233
2009.708344,720,4687.670378,1211
1196.729568,720,4708.399787,661
2043.351975,720,4728.233338,1113
1216.370966,720,4746.582614,785
1215.443676,720,4764.00751,787
2037.300401,720,4781.600747,1207
1111.940395,720,4799.029108,785
2053.843336,720,4818.590273,1115
2124.363862,720,4838.008231,1161
1866.033459,720,4855.538028,1079
2407.105769,720,4878.348684,1985
1920.191042,720,4896.152824,1206
1087.697498,720,4913.60455,600
1729.833745,720,4931.416551,1087
1851.912867,720,4949.003606,1082
2112.613258,720,4968.613531,1160
3175.766479,720,4988.809641,1812
1177.14215,720,5006.547142,785
1179.327779,720,5024.577243,908
1104.363121,720,5041.888615,598
1091.088133,720,5059.635432,598
1824.390692,720,5077.923974,1093
1217.349046,720,5095.230235,661
1113.967094,720,5113.290557,908
1683.957197,720,5133.771686,937
2111.463004,720,5152.958015,1163
1219.116979,720,5169.751592,789
1671.591592,720,5188.383624,937
1829.033863,720,5205.415072,1092
2120.932849,720,5224.210804,1160
1778.182236,720,5241.557635,1094
2569.220946,720,5260.337054,1452
3037.495136,720,5279.286083,1731
2766.498469,720,5299.988441,2002
1809.208666,720,5316.814486,1083
2479.58243,720,5336.279861,1414
2446.391337,720,5356.194459,1415
2121.141144,720,5372.987837,1132
1871.089161,720,5389.954881,1079
1404.328465,720,5406.626982,748
2557.779938,720,5427.584172,1890
1867.974677,720,5444.826592,1082
1820.929181,720,5462.207722,1096
2303.424476,720,5485.118712,1952
2007.497205,720,5501.661834,1195
2051.916597,720,5520.531034,1115
1299.963833,720,5537.407071,908
2184.627786,720,5556.987082,1319
2073.646686,720,5573.722533,1131
2600.923517,720,5594.043964,1777
1085.661964,720,5610.391306,594
2405.872516,720,5631.596974,1997
1848.725636,720,5648.412921,1083
1380.189342,720,5664.731139,748
1874.705544,720,5681.438875,1083
1810.99902,720,5698.767649,1229
2615.799925,720,5717.736752,1466
2830.2731,720,5737.567044,1779
1893.223272,720,5754.314976,1081
1243.289798,720,5771.288833,785
2125.531602,720,5790.900759,1320
1981.540707,720,5807.745924,1213
2253.343585,720,5827.729483,1386
2832.589616,720,5847.677938,1810
2518.08608,720,5866.650015,1459
1826.335237,720,5883.522272,1081
1821.255267,720,5900.643602,1091
2273.460453,720,5920.113056,1386
2593.303091,720,5940.215678,1750
2034.983946,720,5957.931683,1212
2694.389666,720,5977.711,1478
2920.406089,720,5997.060472,1775
1978.874145,720,6014.047751,1206
1804.760507,720,6031.148836,1093
1721.792883,720,6048.010439,1080
2741.649628,720,6068.103713,1777
2453.0046,720,6087.32746,1407
1149.751723,720,6104.564052,907
1378.842917,720,6121.285003,747
1965.948709,720,6138.64078,1207
2437.04243,720,6158.883983,1767
2110.454752,720,6177.874425,1162
1071.052997,720,6196.263607,629
1776.80275,720,6213.263038,1074
1820.209973,720,6230.188454,1096
1034.450806,720,6248.795824,630
2029.357582,720,6267.44115,1113
1801.508815,720,6284.840509,1233
2116.864007,720,6303.976464,1161
2462.233118,720,6323.402261,1460
1783.06723,720,6340.314442,1081
1294.010218,720,6357.209916,907
1241.090724,720,6373.916402,783
2069.58215,720,6390.751343,1127
3032.274266,720,6410.75357,1901
1639.532835,720,6429.460885,935
2123.308503,720,6446.33038,1132
1820.353615,720,6463.361614,1092
1870.194448,720,6480.268553,1083
2531.734311,720,6501.669293,1897
2579.199591,720,6525.176337,2293
1380.086104,720,6542.005317,906
2449.00325,720,6561.211359,1414
1061.805306,720,6579.9072,630
3002.012913,720,6601.424571,2209
1376.859752,720,6618.03358,748
2031.762093,720,6637.084256,1112
2914.43643,720,6656.630346,1771
1229.257347,720,6674.57498,905
1648.619419,720,6694.493758,934
2082.276265,720,6714.410559,1382
1354.680449,720,6736.932166,909
1340.971608,720,6766.160803,904
2085.111147,720,6793.378657,1131
1841.905215,720,6841.17121,1095
1385.458466,720,6861.901661,748
1217.01837,720,6890.616812,790
1362.103644,720,6913.217626,907
1407.566374,720,6942.720883,747
2433.569676,720,6970.865689,2000
1399.003338,720,6990.776186,748
1803.862306,720,7011.662531,1228
1229.869912,720,7032.638154,660
1062.207916,720,7053.054987,598
2560.002045,720,7077.755869,1458
1892.002631,720,7101.885863,1232
2827.639297,720,7123.499702,1903
2711.682434,720,7143.55777,1803
2892.320046,720,7162.974245,1774
3069.984656,720,7182.498264,1815
3198.949498,720,7208.396089,2202
1027.991689,720,7237.074881,627
2104.808925,720,7263.447508,1162
1926.918759,720,7287.764243,1203
2661.455333,720,7313.6446,1796
2912.902463,720,7344.308621,1889
2023.638364,720,7370.690902,1114
2484.837018,720,7397.526741,2266
1821.347334,720,7418.473992,1079
1804.296497,720,7439.808657,1097
2485.34812,720,7466.798229,1464
1795.407381,720,7490.327908,1095
1634.752729,720,7516.888596,934
2043.451827,720,7542.514097,1116
2527.716275,720,7566.73714,1454
2642.992379,720,7607.986366,2313
2522.632813,720,7633.738862,1975
1866.911136,720,7659.440868,1078
1220.080572,720,7680.435634,660
1931.42046,720,7702.476011,1210
2695.330403,720,7728.166276,1992
2820.039086,720,7761.366611,1777
3068.529701,720,7782.486492,1730
1233.582106,720,7801.341791,787
1058.730495,720,7817.495668,600
2758.410008,720,7843.462066,2205
1834.83414,720,7863.724801,1083
3146.861773,720,7882.857295,1966
3292.309208,720,7904.800062,1972
1042.543938,720,7925.513427,599
2068.326326,720,7945.757039,1132
2508.659577,720,7968.916289,1898
2831.229682,720,7988.990295,1771
1765.316893,720,8007.197402,1096
1399.542411,720,8023.864779,747
1735.52256,720,8042.54273,1092
2118.91784,720,8065.363694,1161
858.725273,720,8084.767656,588
1674.971936,720,8108.768937,936
1205.769497,720,8131.305664,661
1748.986722,720,8149.585006,1095
1226.835543,720,8169.707824,661
1816.096466,720,8190.876297,1081
1267.430348,720,8218.495083,908
2868.479124,720,8250.073929,1809
1193.23219,720,8270.852839,659
2698.708243,720,8299.573617,2334
2834.664901,720,8324.953374,2004
1838.487289,720,8344.763865,1095
2308.015043,720,8367.197318,1385
3299.127168,720,8392.924289,2204
2033.764103,720,8415.7104,1114
1640.237818,720,8440.165867,932
2435.470204,720,8465.131358,1417
3261.515015,720,8488.627893,1817
3214.531563,720,8513.118066,1968
1787.664303,720,8547.561409,1097
1861.668454,720,8564.88174,1080
1850.912003,720,8580.040347,1099
1391.522591,720,8595.358384,746
1759.526992,720,8611.024921,1078
1176.681265,720,8627.06452,786
1832.456964,720,8642.867352,1095
1865.255613,720,8659.420271,1231
1191.430273,720,8675.34885,788
2024.214182,720,8697.164469,1112
1388.567596,720,8712.93313,748
1844.261688,720,8728.799461,1082
1777.247313,720,8744.426249,1080
2953.743759,720,8762.665155,1777
1799.646866,720,8778.922806,1095
2099.079473,720,8796.841877,1381
2398.544516,720,8814.922711,1416
1799.992929,720,8831.012065,1097
1768.49054,720,8847.413535,1080
1112.257946,720,8862.694845,598
1859.936091,720,8878.584154,1081
1037.054173,720,8896.387064,629
2558.115675,720,8914.10381,1458
2103.553691,720,8929.713605,1133
1827.718504,720,8945.992354,1083
1966.412513,720,8962.615697,1211
1051.85641,720,8980.171747,630
3031.992733,720,8998.537283,1727
1607.198247,720,9016.461666,935
1816.729509,720,9032.856315,1094
1196.702005,720,9049.338219,784
1787.314643,720,9065.470591,1093
1840.425549,720,9081.511172,1229
2349.232867,720,9099.413699,1387
1151.75272,720,9115.210202,786
2653.706662,720,9134.011429,1805
1101.712371,720,9149.657604,599
1955.766425,720,9167.97431,1318
2027.206747,720,9186.336937,1312
1817.638183,720,9202.20626,1090
2538.242763,720,9221.440688,1985
1922.906046,720,9241.825011,1804
2002.225196,720,9257.674054,1207
1114.715133,720,9272.900006,598
2407.342616,720,9291.118156,1413
1836.246453,720,9310.776807,1230
2062.664939,720,9329.671195,1321
1048.565918,720,9346.675083,629
1394.642904,720,9362.055657,748
1879.582659,720,9378.038017,1083
2770.880641,720,9397.314539,1773
2676.777699,720,9419.411074,2323
1339.769869,720,9435.330586,904
1805.151574,720,9451.493695,1078
1877.041234,720,9467.853119,1100
3076.645522,720,9485.837661,1809
1792.186089,720,9501.943691,1079
1122.5977,720,9517.264776,599
2420.918882,720,9535.09277,1414
3049.318958,720,9553.75108,1725
3041.878254,720,9572.205875,1894
1088.497417,720,9587.648252,659
1970.030237,720,9605.163706,1114
2401.286659,720,9625.453989,1808
1826.476425,720,9648.103817,1096
1174.856655,720,9676.592445,657
1840.208538,720,9693.647086,1232
2671.091799,720,9712.855057,1809
1863.167225,720,9730.253535,1080
1140.543715,720,9755.367829,598
1205.609179,720,9778.8355,786
1369.636226,720,9806.367154,747
2757.765786,720,9829.873639,1811
2601.587974,720,9853.483781,1898
3161.398374,720,9882.439416,2214
2733.462077,720,9904.89838,1802
1127.554313,720,9920.743112,599
1793.998287,720,9936.936726,1095
2746.863375,720,9960.415635,1807
1851.339269,720,9976.702804,1081
1379.722069,720,9993.282581,748
1945.619001,720,10015.545735,1209
1722.897348,720,10037.856589,1089
3091.634897,720,10061.004173,1966
3113.090336,720,10085.741889,1816
1197.110712,720,10109.919123,786
1125.123682,720,10131.039735,652
2372.056186,720,10155.137645,1417
1805.927268,720,10171.023082,1083
2122.23777,720,10193.781801,1386
1043.599601,720,10217.054989,630
2877.602482,720,10246.987103,1890
1137.357579,720,10267.129057,598
2422.018009,720,10295.995911,2301
2885.757249,720,10318.861425,1810
2450.030313,720,10342.354836,1414
2875.71523,720,10367.789432,1807
1826.62542,720,10389.918424,1310
2595.562052,720,10413.230881,1892
3050.932634,720,10430.770302,1728
2692.847107,720,10448.108264,1480
1452.802211,720,10464.665072,1229
2452.122578,720,10482.244655,1413
2061.972323,720,10497.594008,1132
2414.008948,720,10517.321163,1971
1368.180881,720,10532.724222,748
1953.101814,720,10548.696223,1205
2611.656678,720,10566.485511,1475
1588.980571,720,10584.169424,937
1386.696546,720,10605.317261,746
2058.910902,720,10631.133283,1161
1826.766707,720,10651.872221,1082
3119.346197,720,10677.166475,2219
1130.086628,720,10698.369583,659
2091.351412,720,10728.844629,1162
