#{"t_start": 1786480422.497421, "env_id": "None"}
r,l,t
-62.269047,144,506.610756
-74.59473,144,506.610794
-58.72911,144,510.61344
-84.79664,144,510.613477
-85.618164,144,514.625564
-68.27094,144,514.625599
-97.581245,144,518.663771
-79.92304,144,518.663808
-59.504913,144,522.689134
-68.36793,144,522.689169
-67.6721,144,527.167818
-63.724567,144,527.16785
-81.851265,144,531.143128
-80.841995,144,531.143164
-65.18806,144,535.158564
-66.559906,144,535.158606
-77.433495,144,539.201274
-74.60621,144,539.201311
-71.30961,144,543.261697
-85.42653,144,543.261733
-65.73992,144,547.26748
-58.023457,144,547.267516
-69.94038,144,551.2999
-82.03717,144,551.299934
-68.311195,144,555.312074
-65.56433,144,555.312119
-73.14376,144,559.350118
-68.61357,144,559.350155
-61.538944,144,563.362541
-74.9351,144,563.362578
-59.75933,144,567.344826
-62.89085,144,567.344864
-57.246983,144,571.298337
-80.756454,144,571.298372
-111.80739,144,575.839467
-71.54468,144,575.8395
-66.730675,144,579.746956
-65.61057,144,579.746993
-68.530334,144,583.788157
-73.49868,144,583.788193
-79.47959,144,587.809021
-65.031845,144,587.809058
-47.275146,144,591.787303
-81.12074,144,591.78734
-68.215195,144,595.796843
-64.05667,144,595.796881
-66.79621,144,599.791922
-74.182594,144,599.791957
-63.783756,144,603.815519
-58.69532,144,603.815555
-63.349705,144,607.816455
-60.17019,144,607.816497
-77.51157,144,612.307442
-74.164345,144,612.307474
-67.73444,144,616.228175
-70.58033,144,616.228208
-62.869015,144,620.246727
-59.236538,144,620.246762
-58.25091,144,624.261966
-70.72484,144,624.262004
-69.87344,144,628.244856
-74.72832,144,628.244889
-60.434296,144,632.291266
-83.24686,144,632.291301
-79.78232,144,636.41267
-67.178505,144,636.412708
-66.85198,144,640.423267
-64.14821,144,640.423312
-75.10706,144,644.420263
-80.486694,144,644.420299
-81.9871,144,648.457247
-89.77798,144,648.457283
-74.12645,144,652.455813
-77.682495,144,652.45585
-54.66137,144,656.43714
-64.65358,144,656.437176
-70.55141,144,660.383508
-61.082466,144,660.383541
-62.245514,144,664.353892
-59.651794,144,664.353933
-70.84698,144,668.374224
-63.47741,144,668.374259
-66.61908,144,672.384234
-70.626785,144,672.384271
-97.612915,144,676.41847
-56.798164,144,676.418503
-68.04978,144,680.454913
-79.0303,144,680.454949
-96.69453,144,684.503193
-60.463722,144,684.503229
-55.18099,144,688.523947
-66.1053,144,688.523984
-70.37894,144,692.58042
-70.37449,144,692.580455
-81.89784,144,696.616308
-60.571194,144,696.616354
-85.53971,144,700.660505
-59.04055,144,700.660542
-69.85166,144,705.005079
-49.736725,144,705.005118
-81.00769,144,708.985601
-57.123627,144,708.985636
-61.821156,144,713.073799
-86.13427,144,713.073835
-68.530235,144,717.125407
-68.7624,144,717.125444
-70.05924,144,721.096932
-67.80563,144,721.096968
-71.891365,144,725.105627
-61.291584,144,725.105664
-106.05933,144,729.167915
-65.26285,144,729.16795
-54.51755,144,733.138776
-80.455795,144,733.13881
-82.90762,144,737.178392
-65.79741,144,737.178427
-64.34025,144,741.190299
-57.857346,144,741.190333
-87.67122,144,745.186606
-67.45346,144,745.186645
-74.31333,144,749.192716
-55.33358,144,749.192753
-90.145584,144,753.214392
-67.46117,144,753.214432
-53.5425,144,757.219746
-76.10979,144,757.219786
-85.25835,144,761.219901
-73.72596,144,761.219937
-75.58443,144,765.211643
-60.12411,144,765.211681
-86.28323,144,769.201562
-63.368435,144,769.201598
-98.78808,144,773.261196
-77.10973,144,773.26126
-64.679,144,777.275799
-59.842464,144,777.275834
-78.20746,144,781.255497
-67.32752,144,781.255532
-68.12658,144,785.221337
-77.38239,144,785.221371
-80.15932,144,789.248992
-88.51368,144,789.249027
-73.01337,144,794.10682
-64.14992,144,794.106852
-67.65673,144,798.722864
-76.4978,144,798.722896
-68.178696,144,803.350438
-66.9158,144,803.350469
-67.7027,144,807.975634
-65.11725,144,807.97567
-67.862236,144,811.846168
-63.29413,144,811.846205
-61.243515,144,816.013321
-67.89615,144,816.013355
-59.579826,144,820.221887
-61.643494,144,820.221936
-64.39789,144,824.837098
-63.6662,144,824.837131
-69.29924,144,828.957809
-104.63594,144,828.957859
-65.78956,144,833.037105
-67.983025,144,833.037142
-63.904236,144,837.03686
-63.79184,144,837.036895
-77.5624,144,841.023163
-69.73494,144,841.023198
-66.72017,144,845.029346
-64.19168,144,845.02938
-72.61888,144,849.028132
-80.61403,144,849.028167
-67.52572,144,853.000291
-75.42511,144,853.000327
-75.40451,144,857.046042
-77.68077,144,857.046084
-76.697586,144,861.062575
-64.39859,144,861.06261
-68.30233,144,865.204794
-82.21397,144,865.204836
-63.718525,144,869.707938
-63.1917,144,869.707973
-63.033825,144,874.169644
-68.956764,144,874.169676
-70.63689,144,878.118459
-77.80042,144,878.118493
-59.07239,144,882.121036
-67.810776,144,882.12107
-65.90702,144,886.128422
-57.614216,144,886.128454
-69.82669,144,890.663816
