#{"t_start": 1786517020.2117612, "env_id": "None"}
r,l,t,cleared_count
76.149956,144,235.437712,41
75.306625,144,237.56477,41
90.98327,144,237.564805,48
89.163284,144,239.75209,47
86.796616,144,239.752123,46
86.9366,144,241.914994,47
80.443306,144,241.915027,43
79.339966,144,244.101106,42
84.89328,144,244.101141,46
81.129944,144,245.733678,44
87.23328,144,245.733716,46
87.73662,144,247.897407,46
77.92663,144,247.897441,41
77.58996,144,250.046465,41
97.75326,144,250.046497,51
96.61662,144,252.196965,52
78.32996,144,252.197002,42
77.7033,144,254.359546,42
87.97662,144,254.359579,46
87.38994,144,256.488442,46
98.71658,144,256.488481,52
98.42325,144,258.696481,52
96.91326,144,258.696516,51
96.82325,144,261.010939,51
117.9199,144,261.010972,62
116.973236,144,263.278071,61
88.92326,144,263.278104,47
90.85993,144,265.48725,48
100.46325,144,265.487285,53
95.116585,144,267.667454,50
91.79991,144,267.667488,50
101.9566,144,269.878087,53
106.30991,144,269.87812,56
107.106575,144,272.176023,56
118.31991,144,272.176057,62
116.57658,144,274.435774,61
100.89325,144,274.435807,53
100.16661,144,276.626344,53
110.22325,144,276.626379,58
110.62991,144,278.79764,58
76.71664,144,278.797673,41
77.2933,144,280.929637,41
89.47327,144,280.929672,48
81.7866,144,283.097967,44
81.99995,144,283.098,44
88.619934,144,285.264755,47
81.696625,144,285.264788,43
80.61996,144,287.386586,43
85.53661,144,287.386619,45
86.379944,144,289.535636,46
87.09327,144,289.535672,46
81.71327,144,291.702438,44
77.11663,144,291.702471,41
72.74997,144,293.865741,40
94.009926,144,293.865775,50
96.88657,144,296.037241,51
77.5833,144,296.037274,42
77.63662,144,298.182019,42
85.81661,144,298.182061,45
87.613266,144,300.354847,46
96.479935,144,300.354887,51
97.73658,144,302.530884,52
97.00325,144,302.530918,51
93.76993,144,304.811482,50
117.5399,144,304.81152,62
118.8799,144,307.089745,62
87.46994,144,307.089777,47
86.92995,144,309.28397,46
97.77989,144,309.284007,53
97.00326,144,311.457999,51
101.57659,144,311.458033,53
96.533264,144,313.650093,51
105.97326,144,313.650126,56
109.12658,144,315.922875,57
113.78654,144,315.922909,60
113.58323,144,318.194285,60
101.74326,144,318.194318,53
95.64658,144,320.392476,51
107.76659,144,320.392515,56
110.59325,144,322.548807,58
76.41663,144,322.548846,41
77.2933,144,324.697279,41
91.00329,144,324.697313,48
89.21661,144,326.850605,47
86.31995,144,326.850642,46
85.62993,144,329.016197,46
79.58663,144,329.01623,42
76.9033,144,331.151167,41
86.59326,144,331.151201,46
84.896614,144,333.293236,45
87.419945,144,333.293269,46
89.51661,144,335.540144,47
76.62328,144,335.540189,41
78.30329,144,338.334528,42
96.009926,144,338.334563,51
95.129906,144,340.537281,51
79.676636,144,340.53732,42
80.969955,144,342.382266,43
87.38995,144,342.3823,46
86.276596,144,344.44195,46
97.649925,144,344.441984,51
98.236595,144,346.935645,52
101.43659,144,346.935679,53
98.33659,144,349.431566,52
118.90658,144,349.431605,62
119.13657,144,351.783756,62
92.26994,144,351.783791,48
91.57995,144,353.79299,48
99.35992,144,353.793064,53
97.099915,144,356.408231,51
99.11326,144,356.40827,53
102.40326,144,358.962244,53
107.22993,144,358.962278,56
109.116585,144,361.506525,57
114.03324,144,361.506562,59
118.51658,144,363.467459,62
95.99991,144,363.46764,51
99.83994,144,365.950026,53
110.57325,144,365.950061,58
110.55991,144,368.592067,58
76.87663,144,368.5921,41
77.24329,144,370.016403,41
90.80661,144,370.016464,48
87.44994,144,372.089101,47
88.7966,144,372.089136,47
83.826614,144,374.18907,44
77.46664,144,374.189105,42
79.1333,144,376.131418,42
85.83995,144,376.131451,46
87.33995,144,377.474229,46
87.72661,144,377.474379,46
86.19327,144,379.505422,46
80.143295,144,379.505456,42
78.34328,144,381.540638,42
97.00326,144,381.540679,51
98.34327,144,383.01798,52
79.996635,144,383.018019,42
82.269966,144,385.104305,43
86.54996,144,385.104337,46
86.73661,144,386.484663,46
97.85327,144,386.484714,51
95.5666,144,388.497381,51
98.993256,144,388.497417,52
94.703255,144,390.114712,50
115.93324,144,390.114749,60
113.40658,144,392.176626,60
89.229935,144,392.17666,48
90.05993,144,393.774199,48
97.60327,144,393.77426,51
97.52325,144,395.765033,52
99.27326,144,395.765066,52
99.33325,144,397.364561,52
105.656555,144,397.364603,56
110.22324,144,399.040765,58
118.26656,144,399.040809,62
113.07989,144,401.211108,60
95.18322,144,401.211141,51
95.22325,144,402.789896,52
108.41657,144,402.789963,57
103.98992,144,404.3992,56
76.8433,144,404.399253,41
75.4433,144,405.911847,41
