#{"t_start": 1785466356.8988497, "env_id": "None"}
r,l,t
-29.406299,144,1.051625
-29.763541,144,2.705896
-38.843569,144,4.333039
-28.369831,144,5.922326
-31.291421,144,7.625145
-24.368427,144,9.264987
-28.131751,144,10.970497
-28.49879,144,12.631259
-25.256106,144,14.248562
-25.662207,144,15.838938
-23.986924,144,17.520672
-20.18904,144,19.110406
-24.831008,144,20.708578
-22.867238,144,22.437838
-21.494455,144,24.054769
-20.848229,144,25.767737
-19.43404,144,27.464526
-18.825634,144,29.144717
-18.544667,144,30.77543
-17.662977,144,32.456334
-18.004994,144,34.103824
-19.650752,144,35.729251
-17.000723,144,37.342352
-17.831304,144,39.003434
-18.163863,144,40.630929
-19.815573,144,42.269088
-18.469235,144,43.923292
-18.988802,144,45.557628
-17.590723,144,47.178681
-19.334792,144,48.85415
-16.19303,144,50.490309
-19.127002,144,52.148145
-17.815246,144,53.848983
-18.471333,144,55.487584
-17.496809,144,57.135848
-16.901944,144,58.908979
-17.319265,144,60.547792
-18.602694,144,62.167718
-19.237777,144,63.857774
-18.771116,144,65.525404
-17.28745,144,67.15584
-19.16416,144,68.814498
-18.117092,144,70.495153
-18.178863,144,72.154936
-17.237941,144,73.786191
-18.329116,144,75.458539
-20.25253,144,77.097899
-15.797658,144,78.716401
-17.439949,144,80.438963
-17.559518,144,82.148991
-18.01736,144,83.879684
-22.199945,144,85.574158
-16.60495,144,87.180598
-15.448343,144,88.813466
-16.981943,144,90.560193
-16.2487,144,92.197978
-16.016899,144,93.837482
-19.305454,144,95.543976
-18.015768,144,97.195284
-18.748475,144,98.837258
-17.347344,144,100.567717
-17.087674,144,102.25226
-18.616347,144,103.899763
-20.582014,144,105.758752
-19.520551,144,107.550923
-20.105543,144,109.281523
-18.448729,144,111.248578
-17.119279,144,113.215255
-16.388744,144,114.897654
